title,company,company-link,post-date,applications,location,role-description,link,"experience,",type_work,function,sector_final
"Data Analyst - Milano, Milano",P. & P. Consulting,https://it.linkedin.com/company/programs-&-projects-consulting?trk=guest_job_details_topcard_org_name,2 days ago,Be among the first 25 applicants,"Milano, IT","Ricerchiamo un Data Analyst, per attività di analisi ed estrazione di pattern, sulla sede di Milano. Ai candidati è richiesta la conoscenza base dei linguaggi SQL Standard e Python. E inoltre gradita la conoscenza delle seguenti tecnologi...
P&P Consulting",https://www.linkedin.com/jobs/view/1605083546,Entry level,Full-time,Information Technology,"['', 'Information ', 'Technology and ', 'Services']"
Data Analyst,Cromwell Property Services,https://uk.linkedin.com/company/cromwell?trk=guest_job_details_topcard_org_name,3 weeks ago,Be among the first 25 applicants,"Leicester, GB","As we embark on an exciting period of change throughout our business we need a new Data Analyst to join our thriving inventory function. Through your excellent analytical skills you will be able to identify trends and patterns hidden within the data. You are excited when you are faced with large datasets you will enjoy the challenge of working through it and recommending actions from the data. The Data Analysis function within Cromwell is growing and this is an excellent opportunity to be a key contributor to the future of Cromwell.

The Role Will Be Responsible For
Review and analyse significant amounts of planning data
Build and maintain relationships with supply chain and cross-functional partners
Identifies, recommends and leads continuous improvement projects
Supporting inventory planning strategies across a large portfolio of products, locations, and customers.
Creating relevant reports for management and cross functional partner review.
Skills Required
Advanced Excel Skills essential
Experience of data analysis using large consumer databases preferred including experience using VBA and SQL.
Demonstrated ability to find creative solutions to problems and means of improvement and collaborate with partners to drive results.
Knowledge of inventory management practices and methods
Detail oriented, high proficiency
Highly motivated and results oriented
Ability to collaborate with people
About Us

We are Cromwell – a subsidiary of US Fortune 500 company, W.W. Grainger. Established for over 50 years, we supply maintenance, repair and operations type products as well as technical and specialist support to industry. We offer next day delivery or collection from our nationwide stock centres, supported by an overnight UK logistics network.
With ambitious growth plans and a real focus on our people, this is an exciting time to be joining our organisation. As well as offering a highly competitive salary and benefits package, we’re serious about your professional development and your ability to influence the way our business grows. Think you’ve got what we’re looking for? Apply now.",https://www.linkedin.com/jobs/view/1564171840,Entry level,Full-time,Information Technology,"['', 'Staffing and ', 'Recruiting', 'Consumer ', 'Goods', 'Financial ', 'Services']"
Data Analyst Intern,The Shortcut,https://fi.linkedin.com/company/theshortcut?trk=guest_job_details_topcard_org_name,5 days ago,Be among the first 25 applicants,"Helsinki, FI","Are you a bit mad, very driven, and excited about building new things? Look no further! The Shortcut is seeking a talented Data Analyst Intern to join our team! The Shortcut is a talent accelerator, helping people to enter the tech world by either creating a startup or joining one. We're a community-driven non-profit and a sister organization to Slush, Maria01 and Junction. We empower our community through events, workshops and trainings to explore ideas and develop skills needed in startups.

The General Scope Of Your Responsibility Will Consist Of
Assisting in coordinating & instructing trainings on Python for data analysis
In-depth event analysis (using a BI tool)
Analyzing & visualizing key metrics for internal and external reporting
Supporting the efforts of the team in KPI measurement

You Are
Energized and driven by subjects such as talent development, diversity in tech and the Shortcut mission
Ambitious, willing to grow as a data analyst, and seeking to demonstrate your abilities
An aspiring Data Analyst, if not Data Scientist
Experienced in analyzing & summarizing in-depth data with Excel or R
Comfortable giving lectures or presentations to an audience with excellent oral and written communication skills
Self-motivated & proactive
Possibly experienced in teaching or coaching
Preferably skilled in Python, and SQL
Passionate about business & research analytics
Able to respond to challenges by generating results, getting feedback, and improving based on that feedback

We Offer
Platform to showcase your ability and increase your employability
Hands-on experience developing yourself as a Data Analyst working on in-house projects and training aspiring Data Analysts
Access to networking opportunities
Working with a diverse community of driven, like-minded doers
Please send us a letter of motivation describing what interests you about the position and The Shortcut, as well as your CV via The Hub so we can get to know you better by November 17th, 2019. In the meanwhile, should you have any questions, contact Mojjammil on our Tech team.",https://www.linkedin.com/jobs/view/1599766365,Internship,Internship,Information Technology,"['', 'Marketing and ', 'Advertising', 'Computer ', 'Software', 'Internet']"
Data Analyst (Business Intelligence) (m/w/d),atene KOM GmbH,https://de.linkedin.com/company/atene-kom-gmbh?trk=guest_job_details_topcard_org_name,5 days ago,Be among the first 25 applicants,"Berlin, DE","Für unser Büro-Loft in Berlin-Friedrichshain suchen wir ab sofort einen Data Analyst (m/w/d) zur Unterstützung der Teams Anwendungsentwicklung sowie Geoinformationssysteme und Business Intelligence.

Deine Aufgaben bei uns
Du erstellst Analysen und Visualisierst diese
Deine Ergebnisse werden von Dir aufbereitet und präsentiert
Schwerpunkt wird die Aufnahme, Konkretisierung und Konsolidierung von BI-Anforderungen in enger Zusammenarbeit mit den fachlichen Stakeholdern
Umsetzung von Ad-Hoc Auswertungen mittels SQL bringen Dich nicht aus der Ruhe

Deine Skills
Kenntnisse in BI-Reporting und Visualisierungs-Tools (z.B. Tableau) sind ein Muss
Sehr gute Kenntnisse von MySQL und PostgressQL sowie tiefreichende Erfahrungen mit Relationalen Datenbanken sind Voraussetzung
Erste Erfahrungen in Linux, Containerisierung, Kubernetes oder Big-Data Technologien sin von Vorteil
Erfahrungen mit Maven, Gulp sowie den Programmiersprachen R und Python sind ebenfalls von Vorteil
Du zeichnest dich durch einen hohen Qualitätsanspruch an die eigene Arbeit und ein hohes Maß an Eigenständigkeit und initiative aus
Hast du auch noch GIS Erfahrungen – dann musst Du dich bewerben

Unsere Benefits
Dynamik wie in einem Start-up, jedoch mit Sicherheit durch breitgefächerte Auftraggeber bestehend aus Bund, Land und Privatwirtschaft
agile Arbeitsweise mit Mitgestaltungsrecht
wir stellen unbefristet und in Festanstellung ein
heterogenes Team mit einem ausgezeichneten Betriebsklima
Möglichkeit zur betrieblichen Altersvorsorge
Haben wir Dein Interesse geweckt? Dann sende uns Deine Bewerbungsunterlagen bis spätestens zum 15.10.2019 an:click apply.

Weitere Informationen zur atene KOM findest Du unter: www.atenekom.eu. Für Rückfragen stehen wir Dir gerne auch telefonisch unter click apply zur Verfügung.",https://www.linkedin.com/jobs/view/1599163575,Associate,Full-time,Information Technology,"['', 'Information ', 'Technology and ', 'Services', 'Internet', 'Staffing and ', 'Recruiting']"
Data Insight Analyst - London,Metrica Recruitment,https://www.linkedin.com/company/metrica-recruitment?trk=guest_job_details_topcard_org_name,4 weeks ago,Be among the first 25 applicants,"London, GB","**The Company**
A leading provider of research, data and strategic advice, their customers
include every one of the world's biggest 20 consulting firms. Their
ambitious mind-set matched with continuous growth means it would be a
fantastic opportunity for the right candidate to develop alongside the
company in the coming years.
**The Role**
The purpose of this role is to uncover hidden stories in data-sets, derive
insights and structure the results into a format easily understood by all
stakeholders.
Analytics is seen as the driving force behind the success of the business
thus far. As a result, freedom is given for the personal development of
employees and the improvement of the data analytics function, which in turn
will escalate the company that next level.
There is a high dependence placed on having the statistical capabilities to
solve business problems through the application of a variety of techniques,
for example cross-tabulation and linear regression analysis. The team are
willing to allow this analyst the opportunity to develop their programming
skills and be upskilled with Python, which is used on projects.

The Successful Candidate Will Have
Strong quantitative academic background.
An excellent proficiency in Excel and ideally a visualisation tool
such as Tableau, Qlikview or PowerBI
The technical prowess to learn programming languages, including
Python
The ability to communicate and present findings in layman's terms.
Pro-active and inquisitive nature in learning new skills and
understanding developments in the world of data.
The capability to flourish in an innovative and fast paced
environment.",https://www.linkedin.com/jobs/view/1603033659,Entry level,Full-time,Other,"['', 'Information ', 'Technology and ', 'Services', 'Computer ', 'Software', 'Management ', 'Consulting']"
"Data Analyst - Milano, Milano",P. & P. Consulting,https://it.linkedin.com/company/programs-&-projects-consulting?trk=guest_job_details_topcard_org_name,2 days ago,Be among the first 25 applicants,"Milano, IT","Ricerchiamo un Data Analyst, per attività di analisi ed estrazione di pattern, sulla sede di Milano. Ai candidati è richiesta la conoscenza base dei linguaggi SQL Standard e Python. E inoltre gradita la conoscenza delle seguenti tecnologi...
P&P Consulting",https://www.linkedin.com/jobs/view/1605083546,Entry level,Full-time,Information Technology,"['', 'Information ', 'Technology and ', 'Services']"
Data Analyst,Cromwell Property Services,https://uk.linkedin.com/company/cromwell?trk=guest_job_details_topcard_org_name,3 weeks ago,Be among the first 25 applicants,"Leicester, GB","As we embark on an exciting period of change throughout our business we need a new Data Analyst to join our thriving inventory function. Through your excellent analytical skills you will be able to identify trends and patterns hidden within the data. You are excited when you are faced with large datasets you will enjoy the challenge of working through it and recommending actions from the data. The Data Analysis function within Cromwell is growing and this is an excellent opportunity to be a key contributor to the future of Cromwell.

The Role Will Be Responsible For
Review and analyse significant amounts of planning data
Build and maintain relationships with supply chain and cross-functional partners
Identifies, recommends and leads continuous improvement projects
Supporting inventory planning strategies across a large portfolio of products, locations, and customers.
Creating relevant reports for management and cross functional partner review.
Skills Required
Advanced Excel Skills essential
Experience of data analysis using large consumer databases preferred including experience using VBA and SQL.
Demonstrated ability to find creative solutions to problems and means of improvement and collaborate with partners to drive results.
Knowledge of inventory management practices and methods
Detail oriented, high proficiency
Highly motivated and results oriented
Ability to collaborate with people
About Us

We are Cromwell – a subsidiary of US Fortune 500 company, W.W. Grainger. Established for over 50 years, we supply maintenance, repair and operations type products as well as technical and specialist support to industry. We offer next day delivery or collection from our nationwide stock centres, supported by an overnight UK logistics network.
With ambitious growth plans and a real focus on our people, this is an exciting time to be joining our organisation. As well as offering a highly competitive salary and benefits package, we’re serious about your professional development and your ability to influence the way our business grows. Think you’ve got what we’re looking for? Apply now.",https://www.linkedin.com/jobs/view/1564171840,Entry level,Full-time,Information Technology,"['', 'Staffing and ', 'Recruiting', 'Consumer ', 'Goods', 'Financial ', 'Services']"
"Data Analyst - Milano, Milano",P. & P. Consulting,https://it.linkedin.com/company/programs-&-projects-consulting?trk=guest_job_details_topcard_org_name,2 days ago,Be among the first 25 applicants,"Milano, IT","Ricerchiamo un Data Analyst, per attività di analisi ed estrazione di pattern, sulla sede di Milano. Ai candidati è richiesta la conoscenza base dei linguaggi SQL Standard e Python. E inoltre gradita la conoscenza delle seguenti tecnologi...
P&P Consulting",https://www.linkedin.com/jobs/view/1605083546,Entry level,Full-time,Information Technology,"['', 'Information ', 'Technology and ', 'Services']"
Data Analyst,Cromwell Property Services,https://uk.linkedin.com/company/cromwell?trk=guest_job_details_topcard_org_name,3 weeks ago,Be among the first 25 applicants,"Leicester, GB","As we embark on an exciting period of change throughout our business we need a new Data Analyst to join our thriving inventory function. Through your excellent analytical skills you will be able to identify trends and patterns hidden within the data. You are excited when you are faced with large datasets you will enjoy the challenge of working through it and recommending actions from the data. The Data Analysis function within Cromwell is growing and this is an excellent opportunity to be a key contributor to the future of Cromwell.

The Role Will Be Responsible For
Review and analyse significant amounts of planning data
Build and maintain relationships with supply chain and cross-functional partners
Identifies, recommends and leads continuous improvement projects
Supporting inventory planning strategies across a large portfolio of products, locations, and customers.
Creating relevant reports for management and cross functional partner review.
Skills Required
Advanced Excel Skills essential
Experience of data analysis using large consumer databases preferred including experience using VBA and SQL.
Demonstrated ability to find creative solutions to problems and means of improvement and collaborate with partners to drive results.
Knowledge of inventory management practices and methods
Detail oriented, high proficiency
Highly motivated and results oriented
Ability to collaborate with people
About Us

We are Cromwell – a subsidiary of US Fortune 500 company, W.W. Grainger. Established for over 50 years, we supply maintenance, repair and operations type products as well as technical and specialist support to industry. We offer next day delivery or collection from our nationwide stock centres, supported by an overnight UK logistics network.
With ambitious growth plans and a real focus on our people, this is an exciting time to be joining our organisation. As well as offering a highly competitive salary and benefits package, we’re serious about your professional development and your ability to influence the way our business grows. Think you’ve got what we’re looking for? Apply now.",https://www.linkedin.com/jobs/view/1564171840,Entry level,Full-time,Information Technology,"['', 'Staffing and ', 'Recruiting', 'Consumer ', 'Goods', 'Financial ', 'Services']"
Data Analyst Intern,The Shortcut,https://fi.linkedin.com/company/theshortcut?trk=guest_job_details_topcard_org_name,5 days ago,Be among the first 25 applicants,"Helsinki, FI","Are you a bit mad, very driven, and excited about building new things? Look no further! The Shortcut is seeking a talented Data Analyst Intern to join our team! The Shortcut is a talent accelerator, helping people to enter the tech world by either creating a startup or joining one. We're a community-driven non-profit and a sister organization to Slush, Maria01 and Junction. We empower our community through events, workshops and trainings to explore ideas and develop skills needed in startups.

The General Scope Of Your Responsibility Will Consist Of
Assisting in coordinating & instructing trainings on Python for data analysis
In-depth event analysis (using a BI tool)
Analyzing & visualizing key metrics for internal and external reporting
Supporting the efforts of the team in KPI measurement

You Are
Energized and driven by subjects such as talent development, diversity in tech and the Shortcut mission
Ambitious, willing to grow as a data analyst, and seeking to demonstrate your abilities
An aspiring Data Analyst, if not Data Scientist
Experienced in analyzing & summarizing in-depth data with Excel or R
Comfortable giving lectures or presentations to an audience with excellent oral and written communication skills
Self-motivated & proactive
Possibly experienced in teaching or coaching
Preferably skilled in Python, and SQL
Passionate about business & research analytics
Able to respond to challenges by generating results, getting feedback, and improving based on that feedback

We Offer
Platform to showcase your ability and increase your employability
Hands-on experience developing yourself as a Data Analyst working on in-house projects and training aspiring Data Analysts
Access to networking opportunities
Working with a diverse community of driven, like-minded doers
Please send us a letter of motivation describing what interests you about the position and The Shortcut, as well as your CV via The Hub so we can get to know you better by November 17th, 2019. In the meanwhile, should you have any questions, contact Mojjammil on our Tech team.",https://www.linkedin.com/jobs/view/1599766365,Internship,Internship,Information Technology,"['', 'Marketing and ', 'Advertising', 'Computer ', 'Software', 'Internet']"
